season,school,state_place,state_score,sex,n_finishers_raw,n_finishers,star_z,depth_z,pack_gap,star_time,depth_time,canonical,sector,wcac,enrollment_9_12,aliases,enrollment_source,log_enrollment,prev_season,lag_gap_years,lag_star_z,lag_depth_z,lag_pack_gap,lag_state_place,lag_state_score,lag_star_time,lag_depth_time,fit_set,holdout,score_source
2018,BASIS DC,11,309,M,7,7,0.32201562825592617,1.8426449839089065,1.5206293556529804,1192.0,1345.0,BASIS DC,charter,0,560,BASIS DC;Basis DC,static schools.csv fallback,6.327936783729195,,,,,,,,,,False,False,posted_team_table
2019,BASIS DC,11,306,M,3,3,0.9699139778621452,,,1276.01,,BASIS DC,charter,0,560,BASIS DC;Basis DC,static schools.csv fallback,6.327936783729195,2018.0,1.0,0.32201562825592617,1.8426449839089065,1.5206293556529804,11.0,309.0,1192.0,1345.0,False,False,posted_team_table
2023,BASIS DC,11,298,M,7,7,-0.3226445372037871,0.5079441640474123,0.8305887012511994,1132.46,1286.21,BASIS DC,charter,0,560,BASIS DC;Basis DC,static schools.csv fallback,6.327936783729195,2019.0,4.0,0.9699139778621452,,,11.0,306.0,1276.01,,False,False,posted_team_table
2024,BASIS DC,9,249,M,7,7,-0.4304091323607119,0.11521668281003783,0.5456258151707497,1086.18,1202.95,BASIS DC,charter,0,560,BASIS DC;Basis DC,static schools.csv fallback,6.327936783729195,2023.0,1.0,-0.3226445372037871,0.5079441640474123,0.8305887012511994,11.0,298.0,1132.46,1286.21,True,False,posted_team_table
2025,BASIS DC,6,161,M,7,7,-0.8910374602751384,-0.42065833011132314,0.4703791301638153,1019.49,1098.17,BASIS DC,charter,0,560,BASIS DC;Basis DC,static schools.csv fallback,6.327936783729195,2024.0,1.0,-0.4304091323607119,0.11521668281003783,0.5456258151707497,9.0,249.0,1086.18,1202.95,False,True,posted_team_table
2025,Banneker,11,303,M,5,5,-0.4799041000645952,1.0736383600824422,1.5535424601470373,1088.26,1348.12,Banneker,public,0,763,Banneker;Banneker Senior;Banneker Academic,DCPS audit SY2025-26 sheet=SY 2025-26,6.637258031284457,,,,,,,,,,False,False,posted_team_table
2024,Bell Multicultural,13,400,M,5,5,0.43562057204749843,2.243049890932466,1.8074293188849677,1271.52,1658.33,Bell Multicultural,public,0,1028,Bell Multicultural;Bell,DCPS audit SY2024-25 sheet=SY 2024-25,6.93537044601511,,,,,,,,,,False,False,posted_team_table
2022,DC International,9,277,M,6,6,-0.01443615249277361,0.5826525809377228,0.5970887334304964,1226.1,1310.2,DC International,charter,0,1450,DC International;DC Internati;DC International School,static schools.csv fallback,7.27931883541462,,,,,,,,,,False,False,reconstructed_from_individuals
2023,DC International,7,197,M,7,7,-0.6864288828444758,-0.04507935040517557,0.6413495324393003,1065.12,1183.84,DC International,charter,0,1450,DC International;DC Internati;DC International School,static schools.csv fallback,7.27931883541462,2022.0,1.0,-0.01443615249277361,0.5826525809377228,0.5970887334304964,9.0,277.0,1226.1,1310.2,True,False,posted_team_table
2024,DC International,10,254,M,7,7,-0.6412392837737828,0.20525872664270323,0.8464980104164861,1041.06,1222.22,DC International,charter,0,1450,DC International;DC Internati;DC International School,static schools.csv fallback,7.27931883541462,2023.0,1.0,-0.6864288828444758,-0.04507935040517557,0.6413495324393003,7.0,197.0,1065.12,1183.84,True,False,posted_team_table
2025,DC International,10,267,M,6,6,-0.9220652651245312,0.219626428919492,1.1416916940440232,1014.3,1205.27,DC International,charter,0,1450,DC International;DC Internati;DC International School,static schools.csv fallback,7.27931883541462,2024.0,1.0,-0.6412392837737828,0.20525872664270323,0.8464980104164861,10.0,254.0,1041.06,1222.22,False,True,posted_team_table
2021,Edmund Burke,9,250,M,5,5,-0.01261274847435362,0.7494134443029126,0.7620261927772662,1225.76,1426.43,Edmund Burke,private,0,300,Edmund Burke;Edmund Burke School,static schools.csv fallback,5.703782474656201,,,,,,,,,,False,False,posted_team_table
2022,Edmund Burke,8,255,M,6,6,-0.36942350887237846,0.7310372959043966,1.100460804776775,1176.1,1331.1,Edmund Burke,private,0,300,Edmund Burke;Edmund Burke School,static schools.csv fallback,5.703782474656201,2021.0,1.0,-0.01261274847435362,0.7494134443029126,0.7620261927772662,9.0,250.0,1225.76,1426.43,True,False,reconstructed_from_individuals
2018,Field,8,254,M,7,7,-0.7016760294712436,1.4152785636927094,2.1169545931639533,1089.0,1302.0,Field,private,0,340,Field;The Field School;Field School,static schools.csv fallback,5.8289456176102075,,,,,,,,,,False,False,posted_team_table
