season,school,state_place,state_score,sex,n_finishers_raw,n_finishers,star_z,depth_z,pack_gap,star_time,depth_time,canonical,sector,wcac,enrollment_9_12,aliases,enrollment_source,log_enrollment,prev_season,lag_gap_years,lag_star_z,lag_depth_z,lag_pack_gap,lag_state_place,lag_state_score,lag_star_time,lag_depth_time,fit_set,holdout,score_source
2024,BASIS DC,6,139,F,8,7,-0.5284065582439871,0.4811817046655664,1.0095882629095536,1199.74,1372.28,BASIS DC,charter,0,560,BASIS DC;Basis DC,static schools.csv fallback,6.327936783729195,,,,,,,,,,False,False,posted_team_table
2018,Bell Multicultural,7,220,F,6,6,1.06631447196212,2.3910142186030376,1.3246997466409176,1574.0,1789.0,Bell Multicultural,public,0,948,Bell Multicultural;Bell,DCPS audit SY2018-19 sheet=Sheet1,6.854354502255021,,,,,,,,,,False,False,posted_team_table
2024,DC International,10,288,F,5,5,1.2363541934282125,2.8965517002980845,1.660197506869872,1501.34,1785.07,DC International,charter,0,1450,DC International;DC Internati;DC International School,static schools.csv fallback,7.27931883541462,,,,,,,,,,False,False,posted_team_table
2019,Field,8,232,F,4,4,0.9022909991604369,,,1651.16,,Field,private,0,340,Field;The Field School;Field School,static schools.csv fallback,5.8289456176102075,,,,,,,,,,False,False,posted_team_table
2018,Georgetown Day,4,93,F,7,7,-0.7759423849943192,-0.20293272714499194,0.5730096578493273,1275.0,1368.0,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,static schools.csv fallback,6.194405391104672,,,,,,,,,,False,False,posted_team_table
2019,Georgetown Day,4,90,F,6,6,-0.949318959294158,-0.13078934382178928,0.8185296154723687,1227.85,1414.98,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,static schools.csv fallback,6.194405391104672,2018.0,1.0,-0.7759423849943192,-0.20293272714499194,0.5730096578493273,4.0,93.0,1275.0,1368.0,True,False,posted_team_table
2021,Georgetown Day,3,98,F,6,6,-0.7176785662929714,0.613454524312765,1.3311330906057366,1262.86,1497.72,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,static schools.csv fallback,6.194405391104672,2019.0,2.0,-0.949318959294158,-0.13078934382178928,0.8185296154723687,4.0,90.0,1227.85,1414.98,True,False,posted_team_table
2023,Georgetown Day,4,96,F,7,7,-0.8585637548578167,-0.521441968938998,0.3371217859188187,1236.67,1329.64,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,static schools.csv fallback,6.194405391104672,2021.0,2.0,-0.7176785662929714,0.613454524312765,1.3311330906057366,3.0,98.0,1262.86,1497.72,True,False,posted_team_table
2024,Georgetown Day,4,115,F,19,7,-1.112076601278808,-0.8825874876163949,0.22948911366241298,1099.99,1139.21,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,static schools.csv fallback,6.194405391104672,2023.0,1.0,-0.8585637548578167,-0.521441968938998,0.3371217859188187,4.0,96.0,1236.67,1329.64,False,True,posted_team_table
2018,Georgetown Visitation,5,125,F,7,7,-0.5541321948590957,0.0681686163536145,0.6223008112127102,1311.0,1412.0,Georgetown Visitation,private,0,490,Georgetown V;Georgetown Visitation,static schools.csv fallback,6.194405391104672,,,,,,,,,,False,False,posted_team_table
2019,Georgetown Visitation,5,93,F,7,7,-1.2505648023849607,-0.19565758620652268,1.054907216178438,1158.98,1400.15,Georgetown Visitation,private,0,490,Georgetown V;Georgetown Visitation,static schools.csv fallback,6.194405391104672,2018.0,1.0,-0.5541321948590957,0.0681686163536145,0.6223008112127102,5.0,125.0,1311.0,1412.0,True,False,posted_team_table
2021,Georgetown Visitation,2,56,F,7,7,-1.0116092572527489,-0.34706291103149994,0.6645463462212489,1211.0,1328.25,Georgetown Visitation,private,0,490,Georgetown V;Georgetown Visitation,static schools.csv fallback,6.194405391104672,2019.0,2.0,-1.2505648023849607,-0.19565758620652268,1.054907216178438,5.0,93.0,1158.98,1400.15,True,False,posted_team_table
2023,Georgetown Visitation,2,50,F,6,6,-1.3284383490211011,-0.5977721140781955,0.7306662349429056,1107.09,1308.59,Georgetown Visitation,private,0,490,Georgetown V;Georgetown Visitation,static schools.csv fallback,6.194405391104672,2021.0,2.0,-1.0116092572527489,-0.34706291103149994,0.6645463462212489,2.0,56.0,1211.0,1328.25,True,False,posted_team_table
