school,season,enrollment_9_12,source
Anacostia,2017,358,DCPS audit SY2017-18 sheet=Sheet1
Anacostia,2018,272,DCPS audit SY2018-19 sheet=Sheet1
Anacostia,2019,296,DCPS audit SY2019-20 sheet=Sheet1
Anacostia,2021,303,DCPS audit SY2021-22 sheet=SY2021-22
Anacostia,2022,258,DCPS audit SY2022-23 sheet=SY2022-23
Anacostia,2023,213,DCPS audit SY2023-24 sheet=SY 2023-24
Anacostia,2024,225,DCPS audit SY2024-25 sheet=SY 2024-25
Anacostia,2025,222,DCPS audit SY2025-26 sheet=SY 2025-26
Archbishop Carroll,2017,380,static schools.csv fallback
Archbishop Carroll,2018,380,static schools.csv fallback
Archbishop Carroll,2019,380,static schools.csv fallback
Archbishop Carroll,2021,380,static schools.csv fallback
Archbishop Carroll,2022,380,static schools.csv fallback
Archbishop Carroll,2023,380,static schools.csv fallback
Archbishop Carroll,2024,380,static schools.csv fallback
Archbishop Carroll,2025,380,static schools.csv fallback
BASIS DC,2017,560,static schools.csv fallback
BASIS DC,2018,560,static schools.csv fallback
BASIS DC,2019,560,static schools.csv fallback
BASIS DC,2021,560,static schools.csv fallback
BASIS DC,2022,560,static schools.csv fallback
BASIS DC,2023,560,static schools.csv fallback
BASIS DC,2024,560,static schools.csv fallback
BASIS DC,2025,560,static schools.csv fallback
Banneker,2017,482,DCPS audit SY2017-18 sheet=Sheet1
Banneker,2018,482,DCPS audit SY2018-19 sheet=Sheet1
Banneker,2019,523,DCPS audit SY2019-20 sheet=Sheet1
Banneker,2021,537,DCPS audit SY2021-22 sheet=SY2021-22
Banneker,2022,579,DCPS audit SY2022-23 sheet=SY2022-23
Banneker,2023,671,DCPS audit SY2023-24 sheet=SY 2023-24
Banneker,2024,703,DCPS audit SY2024-25 sheet=SY 2024-25
Banneker,2025,763,DCPS audit SY2025-26 sheet=SY 2025-26
Bell Multicultural,2017,952,DCPS audit SY2017-18 sheet=Sheet1
Bell Multicultural,2018,948,DCPS audit SY2018-19 sheet=Sheet1
Bell Multicultural,2019,928,DCPS audit SY2019-20 sheet=Sheet1
Bell Multicultural,2021,1040,DCPS audit SY2021-22 sheet=SY2021-22
Bell Multicultural,2022,1035,DCPS audit SY2022-23 sheet=SY2022-23
Bell Multicultural,2023,950,DCPS audit SY2023-24 sheet=SY 2023-24
Bell Multicultural,2024,1028,DCPS audit SY2024-25 sheet=SY 2024-25
Bell Multicultural,2025,1002,DCPS audit SY2025-26 sheet=SY 2025-26
Coolidge,2017,301,DCPS audit SY2017-18 sheet=Sheet1
Coolidge,2018,313,DCPS audit SY2018-19 sheet=Sheet1
Coolidge,2019,444,DCPS audit SY2019-20 sheet=Sheet1
Coolidge,2021,725,DCPS audit SY2021-22 sheet=SY2021-22
Coolidge,2022,998,DCPS audit SY2022-23 sheet=SY2022-23
Coolidge,2023,1070,DCPS audit SY2023-24 sheet=SY 2023-24
Coolidge,2024,1005,DCPS audit SY2024-25 sheet=SY 2024-25
Coolidge,2025,1048,DCPS audit SY2025-26 sheet=SY 2025-26
DC International,2017,1450,static schools.csv fallback
DC International,2018,1450,static schools.csv fallback
DC International,2019,1450,static schools.csv fallback
DC International,2021,1450,static schools.csv fallback
DC International,2022,1450,static schools.csv fallback
DC International,2023,1450,static schools.csv fallback
DC International,2024,1450,static schools.csv fallback
DC International,2025,1450,static schools.csv fallback
E.L. Haynes,2017,420,static schools.csv fallback
E.L. Haynes,2018,420,static schools.csv fallback
E.L. Haynes,2019,420,static schools.csv fallback
E.L. Haynes,2021,420,static schools.csv fallback
E.L. Haynes,2022,420,static schools.csv fallback
E.L. Haynes,2023,420,static schools.csv fallback
E.L. Haynes,2024,420,static schools.csv fallback
E.L. Haynes,2025,420,static schools.csv fallback
Eastern,2017,747,DCPS audit SY2017-18 sheet=Sheet1
Eastern,2018,722,DCPS audit SY2018-19 sheet=Sheet1
Eastern,2019,757,DCPS audit SY2019-20 sheet=Sheet1
Eastern,2021,727,DCPS audit SY2021-22 sheet=SY2021-22
Eastern,2022,828,DCPS audit SY2022-23 sheet=SY2022-23
Eastern,2023,845,DCPS audit SY2023-24 sheet=SY 2023-24
Eastern,2024,881,DCPS audit SY2024-25 sheet=SY 2024-25
Eastern,2025,952,DCPS audit SY2025-26 sheet=SY 2025-26
Edmund Burke,2017,300,static schools.csv fallback
Edmund Burke,2018,300,static schools.csv fallback
Edmund Burke,2019,300,static schools.csv fallback
Edmund Burke,2021,300,static schools.csv fallback
Edmund Burke,2022,300,static schools.csv fallback
Edmund Burke,2023,300,static schools.csv fallback
Edmund Burke,2024,300,static schools.csv fallback
Edmund Burke,2025,300,static schools.csv fallback
Field,2017,340,static schools.csv fallback
Field,2018,340,static schools.csv fallback
Field,2019,340,static schools.csv fallback
Field,2021,340,static schools.csv fallback
Field,2022,340,static schools.csv fallback
Field,2023,340,static schools.csv fallback
Field,2024,340,static schools.csv fallback
Field,2025,340,static schools.csv fallback
Georgetown Day,2017,490,static schools.csv fallback
Georgetown Day,2018,490,static schools.csv fallback
Georgetown Day,2019,490,static schools.csv fallback
Georgetown Day,2021,490,static schools.csv fallback
Georgetown Day,2022,490,static schools.csv fallback
Georgetown Day,2023,490,static schools.csv fallback
Georgetown Day,2024,490,static schools.csv fallback
Georgetown Day,2025,490,static schools.csv fallback
Georgetown Visitation,2017,490,static schools.csv fallback
Georgetown Visitation,2018,490,static schools.csv fallback
Georgetown Visitation,2019,490,static schools.csv fallback
Georgetown Visitation,2021,490,static schools.csv fallback
Georgetown Visitation,2022,490,static schools.csv fallback
Georgetown Visitation,2023,490,static schools.csv fallback
Georgetown Visitation,2024,490,static schools.csv fallback
Georgetown Visitation,2025,490,static schools.csv fallback
Gonzaga College,2017,960,static schools.csv fallback
Gonzaga College,2018,960,static schools.csv fallback
Gonzaga College,2019,960,static schools.csv fallback
Gonzaga College,2021,960,static schools.csv fallback
Gonzaga College,2022,960,static schools.csv fallback
Gonzaga College,2023,960,static schools.csv fallback
Gonzaga College,2024,960,static schools.csv fallback
Gonzaga College,2025,960,static schools.csv fallback
Jackson-Reed,2017,1825,DCPS audit SY2017-18 sheet=Sheet1
Jackson-Reed,2018,1789,DCPS audit SY2018-19 sheet=Sheet1
