canonical,sector,wcac,enrollment_9_12,aliases
Gonzaga College,private,1,960,"Gonzaga College;Gonzaga Coll;Gonzaga College High;Gonzaga College High Scho;Gonzaga College High School;Gonzaga"
St. John's College,private,1,1100,"St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High"
St. Albans,private,0,375,"St Albans;St. Albans;St. Albans School;St Albans School"
St. Anselm's Abbey,private,0,250,"St. Anselm's Abbey School;St Anselms Abbey;St. Anselm's Abbey;St. Anselms"
Sidwell Friends,private,0,470,"Sidwell Friends;Sidwell Frie;Sidwell Friends School"
Georgetown Day,private,0,490,"Georgetown Day;Georgetown D;Georgetown Day School"
Maret,private,0,320,"Maret;Maret School"
Field,private,0,340,"Field;The Field School;Field School"
Edmund Burke,private,0,300,"Edmund Burke;Edmund Burke School"
Georgetown Visitation,private,0,490,"Georgetown V;Georgetown Visitation"
National Cathedral,private,0,490,"National Cathedral;National Cat"
Archbishop Carroll,private,1,380,"Archbishop Carroll;Archbishop C"
Jackson-Reed,public,0,2150,"Jackson-Reed;Jackson-Reed High School;Woodrow Wilson;Woodrow Wils;Woodrow Wilson High Schoo;Woodrow Wilson High School;Wilson"
School Without Walls,public,0,590,"School Without Walls;School Without Walls High;School Without Walls (DC);SWW;School Witho;School Without Walls H"
McKinley Technology,public,0,620,"McKinley Technology;McKinley Tech;McKinley Tec;McKinley Tech High School;McKinley Technology High"
Banneker,public,0,480,"Banneker;Banneker Senior;Banneker Academic"
Coolidge,public,0,830,"Coolidge;Coolidge Senior;Calvin Coolidge"
Roosevelt,public,0,750,"Roosevelt;Roosevelt (DC);Theodore Roosevelt;T Roosevelt;T Roosevelt Senior High School"
Phelps Career,public,0,300,"Phelps Career;Phelps Caree;Phelps Career High School"
Bell Multicultural,public,0,1400,"Bell Multicultural;Bell"
MacArthur,public,0,400,"MacArthur"
Washington Latin,charter,0,580,"Washington Latin PCS;Washington L;Washington Latin Public C;Washington Latin;Latin HS;Washington Latin Public Charter"
BASIS DC,charter,0,560,"BASIS DC;Basis DC"
DC International,charter,0,1450,"DC International;DC Internati;DC International School"
KIPP DC College Prep,charter,0,700,"KIPP DC College Prep;Kipp Dc: College Prep;Kipp Dc: Col;KIPP DC"
Eastern,public,0,750,"Eastern;Eastern High School;Eastern High"
Washington International,private,0,450,"Washington International;Washington I;Washington International School"
E.L. Haynes,charter,0,420,"E.L. Haynes;EL Haynes;E.L. Haynes Public Charte;E.L. Haynes Public Charter"
Anacostia,public,0,400,"Anacostia;Anacostia Hi;Anacostia High"
