season,school,prev_season,lag_gap_years,lag_star_z,lag_depth_z,lag_pack_gap,enrollment_9_12,enrollment_source,sector,wcac,state_place,state_score,score_source
2019,Gonzaga College,2018.0,1.0,-1.6259801476132514,-0.7116147834297599,0.9143653641834916,960,static schools.csv fallback,private,1,1,59,posted_team_table
2019,St. John's College,2018.0,1.0,-1.3079400209407326,-0.4929621963424032,0.8149778245983293,1100,static schools.csv fallback,private,1,2,61,posted_team_table
2019,Jackson-Reed,2018.0,1.0,-1.4172663144844109,-0.5525947200935005,0.8646715943909103,1867,DCPS audit SY2019-20 sheet=Sheet1,public,0,3,87,posted_team_table
2019,Sidwell Friends,2018.0,1.0,-1.3476950367747975,-0.483023442383887,0.8646715943909105,470,static schools.csv fallback,private,0,4,88,posted_team_table
2019,St. Albans,2018.0,1.0,-1.268185005106668,-0.2246158394624655,1.0435691656442023,375,static schools.csv fallback,private,0,5,117,posted_team_table
2019,Georgetown Day,2018.0,1.0,-0.5128397042594356,0.3915869059655397,0.9044266102249752,490,static schools.csv fallback,private,0,6,144,posted_team_table
2019,School Without Walls,2018.0,1.0,-0.0755345300847223,1.0376059132690931,1.1131404433538157,591,DCPS audit SY2019-20 sheet=Sheet1,public,0,8,210,posted_team_table
2021,St. John's College,2019.0,2.0,-1.0627858254003533,-0.8232253314998298,0.2395604939005234,1100,static schools.csv fallback,private,1,1,41,posted_team_table
2021,St. Albans,2019.0,2.0,-1.2573354721770056,-0.2102323029896681,1.0471031691873374,375,static schools.csv fallback,private,0,2,63,posted_team_table
2021,Georgetown Day,2019.0,2.0,-0.8059007144668862,-0.043949136635188,0.7619515778316981,490,static schools.csv fallback,private,0,3,65,posted_team_table
2021,Gonzaga College,2019.0,2.0,-1.3593766375720038,-0.4644648409802928,0.894911796591711,960,static schools.csv fallback,private,1,4,87,posted_team_table
2021,Sidwell Friends,2019.0,2.0,-1.203123512657649,-0.405942450428816,0.7971810622288329,470,static schools.csv fallback,private,0,5,95,posted_team_table
2021,Jackson-Reed,2019.0,2.0,-1.1807424284524102,-0.2229149173726386,0.9578275110797716,2050,DCPS audit SY2021-22 sheet=SY2021-22,public,0,6,180,posted_team_table
2022,St. Albans,2021.0,1.0,-1.0185085884343374,-0.5762242874786984,0.4422843009556391,375,static schools.csv fallback,private,0,1,30,reconstructed_from_individuals
2022,Gonzaga College,2021.0,1.0,-0.7220068436192234,-0.5856418633898343,0.1363649802293891,960,static schools.csv fallback,private,1,2,54,reconstructed_from_individuals
2022,St. John's College,2021.0,1.0,-0.9814078962360324,-0.6734379743033256,0.3079699219327068,1100,static schools.csv fallback,private,1,3,85,reconstructed_from_individuals
2022,Georgetown Day,2021.0,1.0,-0.748474788821085,-0.6757164200882775,0.0727583687328075,490,static schools.csv fallback,private,0,4,86,reconstructed_from_individuals
2022,Sidwell Friends,2021.0,1.0,-0.9038268172584096,-0.3005323474994807,0.6032944697589289,470,static schools.csv fallback,private,0,5,124,reconstructed_from_individuals
2022,Jackson-Reed,2021.0,1.0,-0.5163391374308712,-0.0232834695672129,0.4930556678636583,2139,DCPS audit SY2022-23 sheet=SY2022-23,public,0,6,161,reconstructed_from_individuals
2022,Edmund Burke,2021.0,1.0,-0.0126127484743536,0.7494134443029126,0.7620261927772662,300,static schools.csv fallback,private,0,8,255,reconstructed_from_individuals
2022,Washington Latin,2021.0,1.0,-0.6770834875592493,0.8093365684471556,1.486420056006405,580,static schools.csv fallback,charter,0,10,309,reconstructed_from_individuals
